Species,Species_full,ID,Sex,Date,Set,Attempt,Playback,Number,Time,Response,Notes,Reviewed,Exclude,call_duration,peak_freq,min_freq,max_freq,bandw,entropy,peaks,pulses_call,calls_callgroup,sum_pulse_duration_callgroup,duration_callgroup,call_rate_used,duty_cycle,file_time_with_sound
Trac_cirr,Trachops cirrhosus,Jack,M,7/9/18,1,1,D. diastema,11,20:27,0, ON REVIEW: 0 (was 1). Motions were to person entering from outside,Y,,0.126375,3482.5,3277.5,3677.5,395,0.1115,1,1,1,0.134225,0.126375,1.27825,0.098865637,11
Loph_silv,Lophostoma silvicolum,Loph_silv_1 (Candy),F,9/13/18,4,2,Frog hopping,8,22:48,1, Reaccion al inicio de la grabacion. ,,,0.38975,3000,400,14475,13975,0.22225,2,NA,NA,NA,NA,NA,NA,5.075
Loph_silv,Lophostoma silvicolum,Loph_silv_6 / Sissy Hankshaw,F,10/8/18,1,1,H. frenatus,0,22:19,0, Se grabo un segundo video. Por favor revisar. ON REVIEW: 0 (was 1) ,Y,,2.13,3787.5,1890,11147.5,9255,0.39225,7.25,10.75,1,0.256082,2.13,54,0.039444444,0.425
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,D. gigliotosi,5,18:50,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.02475,24750,24150,26175,2025,0.119,1,1,2,0.0435,0.2083,11.025,0.018893424,1.125
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,S. sila,6,18:54,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.2242,1400,900,6550,5550,0.19175,1,17.25,1.5,0.104693,0.2242,5.0525,0.044374072,5.8
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,V. zederstedi,16,19:40,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.005666667,17700,16733.33333,22400,5666.666667,0.202333333,1,1.666666667,2,0.014906667,0.241533333,0.78636,0.307153636,7.425
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,Anaxipha sp. ,17,19:45,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.116633333,7493.333333,6446.666667,9220,2770,0.147,1,8,4,0.171593333,2.899333333,12.71416667,0.228039588,6.85
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,T. subfalcata,19,8:54,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.05525,19375,18875,20825,1900,0.1125,1,2,1,0.053975,0.05525,0.386946,0.142784781,16.25
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,C. wheeleri,21,8:07,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,H. frenatus,12r,20:16,1,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,2.13,3787.5,1890,11147.5,9255,0.39225,7.25,10.75,1,0.256082,2.13,54,0.039444444,0.425
Micr_micr,Micronycteris microtis,6- Right Butt,M,12/11/18,3,1,P. pustulosus,4r,20:07,0,"[batid naming somewhat confused for mic.mics. This bat was called Right shoulder in in OG data sheet and ""5-Right Shoulder-2"" in  this file, but tagged R-Butt-6 in video and video folder names. confirmed matching ids by matching playback order in videos and datasheets, as well as date and behavior. renamed  in this file to ""6- Right Butt""]",,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Phyl_hast,Phyllostomus hastatus,Phyl_hast_03 / Ender,M,1/25/19,1,1,V. zederstedi,12,19:48,0,"***repeated the first six, to increase randomness, and was fairly ""asleep""",,,0.005666667,17700,16733.33333,22400,5666.666667,0.202333333,1,1.666666667,2,0.014906667,0.241533333,0.78636,0.307153636,7.425
Arti_jama,Artibeus jamaicensis,Arti_jama_4,M,9/29/18,4,1,C. wheeleri,1,22:40,0,"*NOTE: THE VIDEO'S FOR AJ4 WERE LABELED THE SAME AS AJ3 ""AJ3LOVI""",,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Tona_saur,Tonatia saurophila,Tona_saur_02,M,6/24/19,NA,2,T. subfalcata,6,19:41,0,"1 at most, especially at start, review (on review: 0)",Y,,0.05525,19375,18875,20825,1900,0.1125,1,2,1,0.053975,0.05525,0.386946,0.142784781,16.25
Phyl_hast,Phyllostomus hastatus,Notre Dame,M,3/3/19,3,1,D. ebraccatus,7,19:28,0,1 at start but not long,,,0.383775,3105,2450,3570,1112.5,0.20475,1.75,20,1,0.383775,0.383775,1.12125,0.342274247,26.4
Tona_saur,Tonatia saurophila,Tona_saur_01,M,1/4/19,3,1,A. spatulata,9,19:46,1,"1 or 2 at start, probably 1: on review, 1",Y,,0.0258,22275,20125,26825,6675,0.2295,1.25,1,2,0.0516,0.04125,2.000004,0.020624959,3.05
Loph_silv,Lophostoma silvicolum,Constantine,M,5/21/19,3,1,C. wheeleri,23,20:31,2,"1 to 2, review ON REVIEW: 2",Y,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Trac_cirr,Trachops cirrhosus,Feisty,M,7/18/18,2,1,T. subfalcata,14,20:04,0,"1. Estaba distraido por las tungaras llamando por afuera y un guecco que llamos del techo. 2. Al final se paro el video, pero se comenzo otro de una ves. ",,,0.05525,19375,18875,20825,1900,0.1125,1,2,1,0.053975,0.05525,0.386946,0.142784781,16.25
Trac_cirr,Trachops cirrhosus,Big Bertha,F,7/23/18,3,1,D. diastema,5,19:44,0,1. se detubo la grabacion 2. el video tambien se detubo 3. estan muchas ranas naturales llamando fuera de la jaula de la mismaespecie.,,,0.126375,3482.5,3277.5,3677.5,395,0.1115,1,1,1,0.134225,0.126375,1.27825,0.098865637,11
Trac_cirr,Trachops cirrhosus,Big Bertha,F,7/23/18,3,1,Aclodes sp.,3,19:34,0,10 segundo mas de duración,,,0.09415,4800,1900,9700,7800,0.215,1,3,1,0.052178,0.2296,1.08375,0.211856978,9.6
Phyl_disc,Phyllostomus discolor,05 - The Giant,M,1/25/19,3,1,T. rapicauda,16,23:21,2,"2 the first call, 1 or none the second",,,2.498,4077.5,1315,23292.5,21977.5,0.34425,2,21.5,1,0.640543,2.498,54,0.046259259,2.825
Trac_cirr,Trachops cirrhosus,Sundance Kid,M,7/12/18,,1,Mouse rustles,12,20:13,2,"34:30 start in cam. If no 3, then 2 ON REVIEW: I think 2",Y,,0.50075,6300,1275,39125,37800,0.397,4,NA,NA,NA,NA,NA,NA,1.7
Phyl_disc,Phyllostomus discolor,04-Nigel,M,1/16/19,2,1,Z. smaragdina,21,20:43,3,"a little past min 27 on cam 2 - could be 4, but on review cannot say for sure",Y,,42.03333333,18033.33333,3533.333333,23366.66667,19833.33333,0.255666667,2,1642.333333,1,22.32,22.32,22.44102778,0.994606852,101.1
Micr_micr,Micronycteris microtis,4- Left Shoulder,F,12/10/18,2,1,T. subfalcata,redo,22:13,0,"above me, good view of not responding",,,0.05525,19375,18875,20825,1900,0.1125,1,2,1,0.053975,0.05525,0.386946,0.142784781,16.25
Phyl_hast,Phyllostomus hastatus,Scar,M,1/31/19,2,1,Anaxipha sp. ,9,2022,0,accidentally played everything in the middle,,,0.116633333,7493.333333,6446.666667,9220,2770,0.147,1,8,4,0.171593333,2.899333333,12.71416667,0.228039588,6.85
Trac_cirr,Trachops cirrhosus,2018-18?,M,8/2/18,2,1,Acla sp.,7,:25,0,"accidentaly played aclodes before spatulata NOTE: was actually acla, as it says on sign (changed label in document). So no aclodes played to this bat, but 2 acla. Exclude this one, but both the same response: 0",Y,1,0.09415,4800,1900,9700,7800,0.215,1,3,1,0.052178,0.2296,1.08375,0.211856978,9.6
Trac_cirr,Trachops cirrhosus,2018-18?,M,8/2/18,2,1,P. pustulosus,20,1:31,2,acicalandose,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Trac_cirr,Trachops cirrhosus,Big Bertha,F,7/23/18,3,1,H. frenatus,11,20:06,0,acicalandose,,,2.13,3787.5,1890,11147.5,9255,0.39225,7.25,10.75,1,0.256082,2.13,54,0.039444444,0.425
Trac_cirr,Trachops cirrhosus,Coco,M,11/14/18,1,1,Anaxipha sp. ,17r,20:40,0,acicalandose mucho!,,,0.116633333,7493.333333,6446.666667,9220,2770,0.147,1,8,4,0.171593333,2.899333333,12.71416667,0.228039588,6.85
Micr_hirs,Micronycteris hirsuta,Joan_of_Arc,F,11/7/18,,1,Z. smaragdina,9,10:15,0,aciclando,,,42.03333333,18033.33333,3533.333333,23366.66667,19833.33333,0.255666667,2,1642.333333,1,22.32,22.32,22.44102778,0.994606852,101.1
Loph_silv,Lophostoma silvicolum,Loph_silv_9ish (8),M,1/9/19,1,1,Acla sp.,17,23:00,1,acla can be heard calling outside,,,0.441625,2982.5,1470,6687.5,5142.5,0.18425,0.75,12,2.75,0.441625,3.29125,18.33,0.179555374,16.45
Trin_nice,Trinycteris nicefori,Gillian,M,4/11/19,1,1,Frog hopping,19,0:22,0,active. Seemed to listen well to 2 katydids  outside. What were they?,,,0.38975,3000,400,14475,13975,0.22225,2,NA,NA,NA,NA,NA,NA,5.075
Trac_cirr,Trachops cirrhosus,Itchy Mbabe,F,7/11/18,1,1,Beetle flight,9,19:53,1,after stimulus flew from perch in direction of speaker,,,0.490975,22525,525,58775,58200,0.49125,7.75,NA,NA,NA,NA,NA,NA,43.65
Phyl_hast,Phyllostomus hastatus,Phyl_hast_02/ Falcor,M,10/9/18,2,1,V. zederstedi,7,19:34,0,"again, started by turning towards speaker,but unsure if was in response to call",,,0.005666667,17700,16733.33333,22400,5666.666667,0.202333333,1,1.666666667,2,0.014906667,0.241533333,0.78636,0.307153636,7.425
Trac_cirr,Trachops cirrhosus,Jack,M,7/9/18,1,1,White noise,21,21:00,1,al principio realizo movimentos de orejas perodiminuaron desupues de poco tiempo,,,0.2645,NA,100,10000,10000,0.228,1,1,1,0.014906667,0.241533333,0.78636,0.307153636,7.425
Loph_silv,Lophostoma silvicolum,Eldridge,M,4/16/19,3,2,C. wheeleri,1,19:08,2,ALERT,,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Loph_silv,Lophostoma silvicolum,Loph_silv_4,M,10/2/18,4,2,D. ebraccatus,1,18:53,1,"alert and active - I think this was actualy d. ebracattus, review Male, caugt alone at roost near the enterance to PLR. Second night testing, rained all of previous night",,,0.383775,3105,2450,3570,1112.5,0.20475,1.75,20,1,0.383775,0.383775,1.12125,0.342274247,26.4
Trac_cirr,Trachops cirrhosus,Jack,M,7/9/18,1,1,A. spatulata,1,19:55,0,"algo cayo en el techo al final de la grabación, 1 minuto de grabación.",,,0.0258,22275,20125,26825,6675,0.2295,1.25,1,2,0.0516,0.04125,2.000004,0.020624959,3.05
Loph_silv,Lophostoma silvicolum,Loph_silv_6 / Sissy Hankshaw,F,10/8/18,1,1,D. gigliotosi ,20,23:35,2,alguien caminando afuera,,,0.02475,24750,24150,26175,2025,0.119,1,1,2,0.0435,0.2083,11.025,0.018893424,1.125
Trac_cirr,Trachops cirrhosus,Feisty,M,7/18/18,2,1,D. ebraccatus,11,19:56,2,Alguien paso afuera de la jaula.,,,0.383775,3105,2450,3570,1112.5,0.20475,1.75,20,1,0.383775,0.383775,1.12125,0.342274247,26.4
Trac_cirr,Trachops cirrhosus,Coco,M,11/14/18,1,1,T. rapicauda,3R,20:31,4,"also flew almost on top of speaker between trials, from playback 21 to this playback.  ",,,2.498,4077.5,1315,23292.5,21977.5,0.34425,2,21.5,1,0.640543,2.498,54,0.046259259,2.825
Phyl_disc,Phyllostomus discolor,Mrs_Potts,F,1/14/19,3,1,T. rapicauda,18,20:34,1,"also responded to the sound of 2 bats squabbling outside, mostly focused on that afterwards",,,2.498,4077.5,1315,23292.5,21977.5,0.34425,2,21.5,1,0.640543,2.498,54,0.046259259,2.825
Trin_nice,Trinycteris nicefori,Gillian,M,4/11/19,1,1,White noise,8,23:44,0,"althogh looked up after, grooming",,,0.2645,NA,100,10000,10000,0.228,1,1,1,0.014906667,0.241533333,0.78636,0.307153636,7.425
Glyp_davi,Glyphonycteris daviesi,Glyph_davi_1,M,3/17/19,1,1,V. zederstedi,18,20:28,0,amazingly gleaned on off light before start. Also somehow got one buring? Also landed in a bucket. ,,,0.005666667,17700,16733.33333,22400,5666.666667,0.202333333,1,1.666666667,2,0.014906667,0.241533333,0.78636,0.307153636,7.425
Phyl_hast,Phyllostomus hastatus,Caliban,M,2/1/19,3,1,D. gigliotosi ,12,2243,0,ar twitching at bat flying around cage- P hast,,,0.02475,24750,24150,26175,2025,0.119,1,1,2,0.0435,0.2083,11.025,0.018893424,1.125
Micr_micr,Micronycteris microtis,10- Right Midback,F,12/12/18,2,1,Frog hopping,6,18:37,0,asicalandose,,,0.38975,3000,400,14475,13975,0.22225,2,NA,NA,NA,NA,NA,NA,5.075
Micr_micr,Micronycteris microtis,2- Right Butt,M,11/28/18,2,1,Mouse rustles,14,19:37,0,asicalandose,,,0.50075,6300,1275,39125,37800,0.397,4,NA,NA,NA,NA,NA,NA,1.7
Micr_micr,Micronycteris microtis,3- Right Butt_F,F,2018--11-29,3,1,H. frenatus,1,18:25,0,asicalandose,,,2.13,3787.5,1890,11147.5,9255,0.39225,7.25,10.75,1,0.256082,2.13,54,0.039444444,0.425
Arti_jama,Artibeus jamaicensis,Arti_jama_7,M,10/3/18,2,1,C. wheeleri,14,22:51,0,asicalandose,,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Arti_jama,Artibeus jamaicensis,Arti_jama_7,M,10/3/18,2,1,V. zederstedi,17,23:00,0,asicalandose,,,0.005666667,17700,16733.33333,22400,5666.666667,0.202333333,1,1.666666667,2,0.014906667,0.241533333,0.78636,0.307153636,7.425
Loph_silv,Lophostoma silvicolum,Loph_silv_6 / Sissy Hankshaw,F,10/8/18,1,1,P. pustulosus,17,23:18,0,asicalandose,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Arti_jama,Artibeus jamaicensis,Sr_Loop,M,10/26/18,3,1,H. fleishmanni,7,19:14,0,asicalandose,,,0.1005,5097.5,3787.5,5292.5,1502.5,0.1045,1.25,1,1,0.1005,0.1005,5.20975,0.019290753,3.075
Micr_micr,Micronycteris microtis,6- Left Butt,M,11/29/18,3,1,P. pustulosus,6,22:01,0,asicalandose ,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Micr_micr,Micronycteris microtis,6- Left Butt,M,11/29/18,3,1,Q. gigas,12,22:26,2,"asicalandose , haciendo llamadas sociales y despues volo en direccion al parlante",,,15.735,1900,700,3900,3100,0.1795,1,66.5,1,15.735,15.735,15.967625,0.985431459,58.15
Micr_hirs,Micronycteris hirsuta,Micr_hirs_2/Dex,M,11/18/18,3,1,A. spatulata,22R,20:15,1,asicalandose al final de la grabacion,,,0.0258,22275,20125,26825,6675,0.2295,1.25,1,2,0.0516,0.04125,2.000004,0.020624959,3.05
Arti_jama,Artibeus jamaicensis,Arti_jama_3,M,9/26/18,1,1,Acla sp.,11,20:28,0,asicalandose mucho,,,0.441625,2982.5,1470,6687.5,5142.5,0.18425,0.75,12,2.75,0.441625,3.29125,18.33,0.179555374,16.45
Micr_hirs,Micronycteris hirsuta,Micr_hirs_2/Dex,M,11/18/18,3,1,P. pustulosus,6,19:15,0,asicalandose mucho,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Loph_bras,Lophostoma brasiliense,Loph_bras_2,F,9/3/18,4,1,P. pustulosus,1,21:45,0,"asicalandose, female, caught from roots next to vamp cage",,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Lamp_brach,Lampronycteris brachiotis,Lamp_brach_01,,9/20/18,1,1,Frog hopping,7,19:28,0,Asicalanmdose mucho. ,,,0.38975,3000,400,14475,13975,0.22225,2,NA,NA,NA,NA,NA,NA,5.075
Phyl_disc,Phyllostomus discolor,03- Rafiki,M,1/15/19,3,1,A. spatulata,6,7:37,1,at last 20 seconds,,,0.0258,22275,20125,26825,6675,0.2295,1.25,1,2,0.0516,0.04125,2.000004,0.020624959,3.05
Loph_silv,Lophostoma silvicolum,Summit,M,1/31/19,2,1,C. wheeleri,16,2359,2,at least good 1s,,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Lonc_auri,Lonchorina aurita,Lonc_auri_01.08.18_1,M,1/8/19,3,1,T. rapicauda,7,22:00,2,at least on the first cal,,,2.498,4077.5,1315,23292.5,21977.5,0.34425,2,21.5,1,0.640543,2.498,54,0.046259259,2.825
Loph_silv,Lophostoma silvicolum,Tennison,M,2/15/19,3 (ultrasonic 1),1,C. wheeleri,21,19:17,2,"at most, never moved from the one place",,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Phyl_hast,Phyllostomus hastatus,Caliban,M,2/1/19,3,1,Q. gigas,10,2235,2,"at start, then grooming",,,15.735,1900,700,3900,3100,0.1795,1,66.5,1,15.735,15.735,15.967625,0.985431459,58.15
Arti_jama,Artibeus jamaicensis,Don_Hector,M,10/18/18,1,1,H. frenatus,12,20:19,0,"at the end, flew so couldn't see it, but at first was 0, accidentally wrote 18 on the board",,,2.13,3787.5,1890,11147.5,9255,0.39225,7.25,10.75,1,0.256082,2.13,54,0.039444444,0.425
Loph_bras,Lophostoma brasiliense,Loph_bras_2,F,9/3/18,4,1,T. subfalcata,20,23:00,5,aterrizo 4 veces. ,,,0.05525,19375,18875,20825,1900,0.1125,1,2,1,0.053975,0.05525,0.386946,0.142784781,16.25
Lamp_brach,Lampronycteris brachiotis,Lamp_brach_01,,9/20/18,1,1,Acla sp.,14,19:51,0,Aterrizo en la segunda parte,,,0.441625,2982.5,1470,6687.5,5142.5,0.18425,0.75,12,2.75,0.441625,3.29125,18.33,0.179555374,16.45
Lamp_brach,Lampronycteris brachiotis,Lamp_brach_01,,9/20/18,1,1,Aclodes sp.,17,20:04,0,Aterrizo por muvho tiempo y esta ecolocalizando con la boca abierta ,,,0.09415,4800,1900,9700,7800,0.215,1,3,1,0.052178,0.2296,1.08375,0.211856978,9.6
Lamp_brach,Lampronycteris brachiotis,Lamp_brach_01,,9/20/18,1,1,Anaxipha sp. ,6,19:25,0,Aterrizo por primera ves en lo que va del experimento,,,0.116633333,7493.333333,6446.666667,9220,2770,0.147,1,8,4,0.171593333,2.899333333,12.71416667,0.228039588,6.85
Lonc_auri,Lonchorina aurita,Basti,M,2/12/19,1,1,Anaxipha sp. ,4,21:08,0,attending to me?,,,0.116633333,7493.333333,6446.666667,9220,2770,0.147,1,8,4,0.171593333,2.899333333,12.71416667,0.228039588,6.85
Phyl_disc,Phyllostomus discolor,02-Gaston,M,1/15/19,3,1,White noise,4,23:11,0,awake,,,0.2645,NA,100,10000,10000,0.228,1,1,1,0.014906667,0.241533333,0.78636,0.307153636,7.425
Trac_cirr,Trachops cirrhosus,Lucy 2018-20,F,11/13/18,2,1,V. zederstedi,18,20:00,0,"awake now, listening to other things",,,0.005666667,17700,16733.33333,22400,5666.666667,0.202333333,1,1.666666667,2,0.014906667,0.241533333,0.78636,0.307153636,7.425
Micr_schm,Micronycteris schmidtorum,Micr_schm_1,M,6/17/19,1,1,Frog hopping,10,20:11,1,"awakish, grooming",,,0.38975,3000,400,14475,13975,0.22225,2,NA,NA,NA,NA,NA,NA,5.075
Phyl_disc,Phyllostomus discolor,Samwise,M,1/27/19,1,1,Mouse rustles,10,20:25,0,"back to grooming, more alert",,,0.50075,6300,1275,39125,37800,0.397,4,NA,NA,NA,NA,NA,NA,1.7
Trac_cirr,Trachops cirrhosus,Lucy 2018-20,F,11/13/18,2,1,D. diastema,5,19:06,0,basically asleep,,,0.126375,3482.5,3277.5,3677.5,395,0.1115,1,1,1,0.134225,0.126375,1.27825,0.098865637,11
Phyl_hast,Phyllostomus hastatus,Zazoo,M,2/2/19,2,1,A. spatulata,20,20:46,0,bat flying outside havve interesting socal call from afterwards,,,0.0258,22275,20125,26825,6675,0.2295,1.25,1,2,0.0516,0.04125,2.000004,0.020624959,3.05
Phyl_disc,Phyllostomus discolor,Samwise,M,1/27/19,1,1,H. fleishmanni,19,21:01,0,"bat moved behind roost, pushed out",,,0.1005,5097.5,3787.5,5292.5,1502.5,0.1045,1.25,1,1,0.1005,0.1005,5.20975,0.019290753,3.075
Phyl_hast,Phyllostomus hastatus,Phyl_hast_02/ Falcor,M,10/9/18,2,1,Q. gigas,16,20:17,4,"beautiful reaction! check camera 2, however I believe camera 1 caught him grazing leaves over speaker. ON REVEW: 4 confirmed",Y,,15.735,1900,700,3900,3100,0.1795,1,66.5,1,15.735,15.735,15.967625,0.985431459,58.15
Loph_silv,Lophostoma silvicolum,Loph_silv_3 (Nathaniel),M,9/13/18,3,1,C. wheeleri,2,19:53,5,beautiful video aka the money shot,,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Phyl_disc,Phyllostomus discolor,Mrs_Potts,F,1/14/19,3,1,Acla sp.,19,20:40,0,"became active, flying around",,,0.441625,2982.5,1470,6687.5,5142.5,0.18425,0.75,12,2.75,0.441625,3.29125,18.33,0.179555374,16.45
Micr_micr,Micronycteris microtis,Left-Shoulder-1,F,12/10/18,2,1,H. fleishmanni,2,20:30,0,"became flighty just at start of trial, lost for some of trial",,,0.1005,5097.5,3787.5,5292.5,1502.5,0.1045,1.25,1,1,0.1005,0.1005,5.20975,0.019290753,3.075
Micr_hirs,Micronycteris hirsuta,Buddha,M,11/8/18,1,1,T. rapicauda,21,20:10,1,"before rial spashed the water in the dish, got a bit damp",,,2.498,4077.5,1315,23292.5,21977.5,0.34425,2,21.5,1,0.640543,2.498,54,0.046259259,2.825
Phyl_hast,Phyllostomus hastatus,Scar,M,1/31/19,2,1,S. sila,12,20:36,0,before trial bat suddenly eating? Found something on floor? I think he is crawling aorund hunting,,,0.2242,1400,900,6550,5550,0.19175,1,17.25,1.5,0.104693,0.2242,5.0525,0.044374072,5.8
Phyl_hast,Phyllostomus hastatus,H0809,M,1/26/19,1,1,P. pustulosus,9,19:48,0,behind me on wall,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Micr_micr,Micronycteris microtis,4- Left Shoulder,F,12/10/18,2,1,Frog hopping,18,22:00,0,behind sink a lot of the time,,,0.38975,3000,400,14475,13975,0.22225,2,NA,NA,NA,NA,NA,NA,5.075
Loph_silv,Lophostoma silvicolum,Loph_silv_1 (Candy),F,9/13/18,4,2,P. pustulosus,1,22:26,0,"Bien activo, Candy is a probable subadult. Tested the day before, but it rained throughout trial-- pretty unresponsive",,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
